source,name from website,Group_Name_Eng,Group_Name_TH,option,weight (kg),selling price (THB),price per kg (THB),link
PPNSeafood,หอยเชลล์ญี่ปุ่นฝาเดียว,Scallops,หอยเชลล์,,0.8,400,,https://www.ppnseafoodwishing.com/product/%e0%b8%ab%e0%b8%ad%e0%b8%a2%e0%b9%80%e0%b8%8a%e0%b8%a5%e0%b8%a5%e0%b9%8c%e0%b8%8d%e0%b8%b5%e0%b9%88%e0%b8%9b%e0%b8%b8%e0%b9%88%e0%b8%99%e0%b8%9d%e0%b8%b2%e0%b9%80%e0%b8%94%e0%b8%b5%e0%b8%a2%e0%b8%a7/
PPNSeafood,หอยเชลล์ไทย,Scallops,หอยเชลล์,,0.25,250,,https://www.ppnseafoodwishing.com/product/%e0%b8%ab%e0%b8%ad%e0%b8%a2%e0%b9%80%e0%b8%8a%e0%b8%a5%e0%b8%a5%e0%b9%8c%e0%b9%84%e0%b8%97%e0%b8%a2/
PPNSeafood,เนื้อหอยลาย,Baby Clams,หอยลาย,,1,220,,https://www.ppnseafoodwishing.com/product/%e0%b9%80%e0%b8%99%e0%b8%b7%e0%b9%89%e0%b8%ad%e0%b8%ab%e0%b8%ad%e0%b8%a2%e0%b8%a5%e0%b8%b2%e0%b8%a2/
supreme seafoods,หมึกหอม,Squid,หมึก,5-7 ตัวโล,1,480,,https://supremeseafoods.net/products/80617286
supreme seafoods,ปูแป้นดองน้ำปลา,Pickled Crab,ปูดอง,,1,265,,https://supremeseafoods.net/products/80446930
supreme seafoods,แมงกะพรุนกระสุนล้างจืด,Jellyfish,แมงกะพรุน,,0.9,890,,https://supremeseafoods.net/products/80370248
supreme seafoods,หอยงวงช้างแช่แข็ง,Geoduck,หอยงวงช้าง,,,500,,https://supremeseafoods.net/products/80243053
supreme seafoods,แก้มปลาฮามาจิ,Hamachi Kama,ปลาฮามาจิ,,,490,,https://supremeseafoods.net/products/80241242
supreme seafoods,หมึกสายไข่แดดเดียว,Squid,หมึก,,0.25,390,,https://supremeseafoods.net/products/79801127
supreme seafoods,ฮามาจิแผ่น,Hamachi Kama,ปลาฮามาจิ,,1.7,2490,,https://supremeseafoods.net/products/78746049
supreme seafoods,เนื้อหอยเชลล์ไทย,Scallops,หอยเชลล์,,1,980,,https://supremeseafoods.net/products/77874500
supreme seafoods,ปลากุดสลาด,Leopard Coral Grouper,ปลากุดสลาด,,1,1990,,https://supremeseafoods.net/products/76657107
supreme seafoods,ปลากะพง,Sea Bass,ปลากะพง,,0.9,265,,https://supremeseafoods.net/products/76620765
